run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	simtype:ResumeSimFromFile	sim:seeds:conn	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias
85	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.8	2.0	1.0
86	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.8	2.0	1.2
87	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.8	2.5	0.7
88	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.8	2.5	1.0
89	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.8	2.5	1.2
90	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	1.5	0.7
91	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	1.5	1.0
92	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	1.5	1.2
93	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	2.0	0.7
94	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	2.0	1.0
95	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	2.0	1.2
96	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	2.5	0.7
97	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	2.5	1.0
98	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	0.9	2.5	1.2
99	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	1.5	0.7
100	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	1.5	1.0
101	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	1.5	1.2
102	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	2.0	0.7
103	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	2.0	1.0
104	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	2.0	1.2
105	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	2.5	0.7
106	0.01	-0.01	0	1.0	results/hpsearch-2022-01-11/best/4_run_2624/synWeights_final.pkl	2542033	1.0	2.5	1.0
