run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	critic:biases:angv	critic:clear_flips	critic:posRewardBias	critic:total_gain	net:deactivateNMDA
21	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	3.0	2.0	True
22	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	3.0	3.0	False
23	0.025	-0.025	5	5	0	0.0	0.5	0.5	False	3.0	3.0	True
24	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	1.0	0.5	False
25	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	1.0	0.5	True
26	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	1.0	1.0	False
27	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	1.0	1.0	True
28	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	1.0	2.0	False
29	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	1.0	2.0	True
30	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	1.0	3.0	False
31	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	1.0	3.0	True
32	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	2.0	0.5	False
33	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	2.0	0.5	True
34	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	2.0	1.0	False
35	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	2.0	1.0	True
36	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	2.0	2.0	False
37	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	2.0	2.0	True
38	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	2.0	3.0	False
39	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	2.0	3.0	True
40	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	3.0	0.5	False
41	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	3.0	0.5	True
42	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	3.0	1.0	False
43	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	3.0	1.0	True
44	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	3.0	2.0	False
45	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	3.0	2.0	True
46	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	3.0	3.0	False
47	0.025	-0.025	5	5	0	0.0	0.5	0.5	True	3.0	3.0	True
48	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	0.5	False
49	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	0.5	True
50	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	1.0	False
51	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	1.0	True
52	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	2.0	False
53	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	2.0	True
54	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	3.0	False
55	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	1.0	3.0	True
56	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	2.0	0.5	False
57	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	2.0	0.5	True
58	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	2.0	1.0	False
59	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	2.0	1.0	True
60	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	2.0	2.0	False
61	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	2.0	2.0	True
62	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	2.0	3.0	False
63	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	2.0	3.0	True
64	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	3.0	0.5	False
65	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	3.0	0.5	True
66	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	3.0	1.0	False
67	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	3.0	1.0	True
68	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	3.0	2.0	False
69	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	3.0	2.0	True
70	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	3.0	3.0	False
71	0.025	-0.025	5	5	0	0.0	0.5	1.0	False	3.0	3.0	True
72	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	1.0	0.5	False
73	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	1.0	0.5	True
74	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	1.0	1.0	False
75	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	1.0	1.0	True
76	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	1.0	2.0	False
77	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	1.0	2.0	True
78	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	1.0	3.0	False
79	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	1.0	3.0	True
80	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	2.0	0.5	False
81	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	2.0	0.5	True
82	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	2.0	1.0	False
83	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	2.0	1.0	True
84	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	2.0	2.0	False
85	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	2.0	2.0	True
86	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	2.0	3.0	False
87	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	2.0	3.0	True
88	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	3.0	0.5	False
89	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	3.0	0.5	True
90	0.025	-0.025	5	5	0	0.0	0.5	1.0	True	3.0	1.0	False
