run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	simtype:ResumeSimFromFile	sim:seeds:conn	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias
96	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	1.5	0.5
97	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	1.5	0.7
98	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	1.5	0.8
99	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	1.5	1.0
100	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.0	0.5
101	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.0	0.7
102	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.0	0.8
103	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.0	1.0
104	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.5	0.5
105	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.5	0.7
106	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.5	0.8
107	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/3_run_4661/synWeights_final.pkl	4902474	1.0	2.5	1.0
108	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	1.5	0.5
109	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	1.5	0.7
110	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	1.5	0.8
111	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	1.5	1.0
112	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	2.0	0.5
113	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	2.0	0.7
114	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	2.0	0.8
115	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	2.0	1.0
116	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	2.5	0.5
117	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	2.5	0.7
118	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	2.5	0.8
119	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.8	2.5	1.0
120	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	1.5	0.5
121	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	1.5	0.7
122	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	1.5	0.8
123	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	1.5	1.0
124	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	2.0	0.5
125	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	2.0	0.7
126	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	2.0	0.8
127	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	2.0	1.0
128	0.005	-0.005	3	3	0	1.0	results/hpsearch-2022-01-02/best/4_run_4662/synWeights_final.pkl	6485021	0.9	2.5	0.5
