post-median,post-mean,post-min,post-max,pre-median,pre-mean,pre-min,pre-max,mean-best_weights
43.7,45.18,43.1,48.4,51.0,66.0,41.0,107.0,8.439998634925693
50.1,52.98,48.7,63.6,83.0,79.2,29.0,109.0,8.461520790947947
50.7,54.760000000000005,37.1,85.6,58.0,56.6,27.0,74.0,8.466968016367531
61.2,63.160000000000004,55.1,72.6,76.0,71.2,48.0,84.0,8.451609423278544
58.2,57.379999999999995,50.4,61.8,71.0,83.0,35.0,143.0,8.461985998838232
58.7,57.1,49.2,64.7,55.0,58.0,37.0,84.0,8.459684174421033
53.7,56.44,51.5,62.6,75.0,77.8,57.0,94.0,8.454906904985796
60.4,62.04,56.3,67.6,76.0,68.8,20.0,98.0,8.440878535116296
65.7,65.16,59.8,71.7,58.0,70.8,40.0,124.0,8.453258524488229
56.6,54.98,51.0,57.9,70.0,91.8,44.0,154.0,8.465300011460617
51.6,51.84000000000001,49.1,54.4,67.0,71.2,42.0,131.0,8.453753149346545
62.1,65.5,55.1,83.9,52.0,67.6,34.0,131.0,8.450245932993953
55.7,59.35999999999999,51.8,78.4,49.0,62.4,42.0,92.0,8.449939159971706
55.1,56.0,48.3,62.0,56.0,58.6,39.0,93.0,8.472239524727422
65.0,64.4,47.9,74.4,77.0,78.6,62.0,102.0,8.484186403608525
64.8,60.6,49.5,68.5,72.0,75.2,56.0,101.0,8.486516588257887
61.1,61.08,50.6,74.6,92.0,89.8,53.0,111.0,8.501908005148788
65.2,66.67999999999999,63.5,74.0,124.0,103.2,59.0,142.0,8.486357485730814
66.4,68.08,55.9,88.0,69.0,64.2,39.0,81.0,8.49900677686084
59.8,63.260000000000005,55.7,76.1,76.0,92.6,36.0,146.0,8.495845690351
56.8,60.879999999999995,46.6,87.9,69.0,71.6,52.0,103.0,8.493691483946748
61.4,61.42,38.2,75.8,89.0,103.4,81.0,164.0,8.483268452317441
70.9,68.58,48.2,78.8,94.0,81.2,52.0,98.0,8.484058411534157
73.6,73.89999999999999,67.2,82.5,50.0,64.2,20.0,116.0,8.48145355010843
75.6,76.38,64.5,100.3,84.0,82.2,23.0,126.0,8.481986611963332
70.7,75.03999999999999,59.1,92.3,77.0,88.6,31.0,187.0,8.48698578582291
65.1,64.18,52.1,73.4,86.0,64.6,10.0,95.0,8.507949820462988
57.0,63.0,55.6,83.0,35.0,57.0,11.0,124.0,8.502768671714433
64.9,60.7,43.1,70.6,53.0,55.8,34.0,76.0,8.50202836188324
72.1,68.08,51.5,79.2,58.0,55.8,19.0,82.0,8.515643971255557
63.1,63.2,53.8,76.2,38.0,57.0,13.0,110.0,8.533418277334935
76.3,71.08000000000001,52.9,80.9,76.0,71.6,49.0,93.0,8.536230583080087
72.0,70.91999999999999,61.2,82.1,90.0,95.6,54.0,155.0,8.533984713270183
62.2,62.05999999999999,54.5,70.1,73.0,90.0,52.0,171.0,8.521522447825157
65.6,66.3,62.7,74.0,57.0,65.0,53.0,94.0,8.501626287729572
61.3,63.98,57.6,71.7,49.0,48.6,28.0,68.0,8.492190211957439
64.7,66.22,56.7,79.4,47.0,48.2,24.0,72.0,8.46830097596178
68.3,65.44,50.7,72.8,51.0,52.4,25.0,82.0,8.468689437247548
58.3,61.980000000000004,54.7,72.4,28.0,42.8,18.0,83.0,8.468854242732789
70.3,66.91999999999999,51.1,79.0,62.0,66.2,27.0,109.0,8.474288542012767
63.6,65.84,51.9,88.2,55.0,64.8,44.0,118.0,8.484127392529397
66.4,66.16,54.2,79.4,31.0,31.4,12.0,51.0,8.476719609295275
67.5,66.3,51.6,88.4,38.0,46.6,14.0,102.0,8.484612152763676
71.1,66.52000000000001,49.4,72.4,89.0,108.0,32.0,230.0,8.505350673866847
56.9,58.82000000000001,50.3,73.5,67.0,74.0,50.0,117.0,8.507660018620966
65.4,60.08,39.4,68.8,53.0,51.2,28.0,68.0,8.50915676521148
78.7,78.08000000000001,66.3,87.4,80.0,72.2,58.0,84.0,8.530714275735274
69.8,74.75999999999999,63.6,89.4,57.0,56.2,28.0,100.0,8.526573544186537
61.3,63.42,52.0,78.1,52.0,54.0,37.0,79.0,8.542758460496898
60.4,62.080000000000005,41.8,88.1,61.0,78.2,28.0,156.0,8.558064776030912
72.1,64.42,42.8,75.4,50.0,47.2,27.0,61.0,8.557422316525797
81.9,74.56,58.4,88.0,60.0,60.6,29.0,101.0,8.565745847287324
77.1,75.76,46.6,95.8,78.0,71.2,38.0,83.0,8.554267287858124
68.2,83.6,60.9,120.2,93.0,75.8,31.0,111.0,8.552297818673804
71.1,74.05999999999999,54.2,99.8,37.0,48.4,25.0,88.0,8.545491638326473
78.7,81.58,75.8,90.6,99.0,93.4,51.0,138.0,8.559584121770914
81.8,83.08,61.9,112.5,51.0,78.2,42.0,166.0,8.555681679343923
73.7,73.44,67.4,78.1,83.0,82.4,33.0,143.0,8.546686659015098
74.1,77.78,65.3,97.5,82.0,82.4,48.0,125.0,8.558333227702063
